pkSeqID,proto,saddr,sport,daddr,dport,seq,stddev,N_IN_Conn_P_SrcIP,min,state_number,mean,N_IN_Conn_P_DstIP,drate,srate,max,attack,category,subcategory
3576923,tcp,192.168.100.5,0,192.168.100.3,0,7,0.235357,7,0.598172,2,4.898582,7,0,10.932437,4.999866,0,Normal,Normal
1650441,tcp,192.168.100.147,57126,192.168.100.3,80,189,0.516352,16,0.912216,1,1.428568,100,0.503557,0.632708,1.94492,1,DDoS,HTTP
3577233,udp,192.168.100.150,46295,192.168.217.2,53,17475,0,11,0,4,0,20,0,0.400001,0,0,Normal,Normal
3576925,tcp,192.168.100.3,80,192.168.100.55,8080,1,0.228494,20,0.768694,2,4.947914,2,17.633553,17.634146,4.999863,0,Normal,Normal
3577135,udp,192.168.100.147,38275,192.168.217.2,53,23527,0,18,0,4,0,18,0,0.399866,0,0,Normal,Normal
1650423,tcp,192.168.100.150,54176,192.168.100.3,80,70,0.541152,47,0.000104,1,0.541256,100,0.378094,0.627736,1.082408,1,DDoS,HTTP
1651153,tcp,192.168.100.149,42472,192.168.100.3,80,901,0.905207,89,0,1,0.64012,100,0.248841,0.357752,1.920275,1,DDoS,HTTP
1650691,tcp,192.168.100.149,41814,192.168.100.3,80,441,0.94224,17,0,1,0.666333,100,0.250019,0.357195,1.998861,1,DDoS,HTTP
1650817,tcp,192.168.100.149,41982,192.168.100.3,80,568,0.587517,79,0.000119,1,0.587636,100,0.351043,0.582034,1.175153,1,DDoS,HTTP
3576909,udp,192.168.100.150,56155,255.255.255.255,3289,4081,0,14,0,4,0,2,0,0,0,0,Normal,Normal
1650958,tcp,192.168.100.149,42136,192.168.100.3,80,733,0.011708,55,0,1,0.008279,100,0.589198,0.356429,0.024836,1,DDoS,HTTP
1650890,tcp,192.168.100.149,42072,192.168.100.3,80,613,0.013479,79,7.70E-05,1,0.013556,100,0.291618,0.583235,0.027035,1,DDoS,HTTP
1650954,tcp,192.168.100.147,57410,192.168.100.3,80,651,9.40E-05,45,0,1,5.40E-05,100,0.252153,0.239598,0.000217,1,DDoS,HTTP
1651023,tcp,192.168.100.149,42212,192.168.100.3,80,771,0.014707,93,0,1,0.0104,100,0.590747,0.356744,0.031199,1,DDoS,HTTP
3577043,udp,192.168.100.3,44627,96.7.49.66,53,4020,0,23,0.30755,2,0.30755,1,0,0,0.30755,0,Normal,Normal
3577343,udp,192.168.100.3,8005,205.251.197.206,53,3778,0,74,0.009961,2,0.009961,2,0,0,0.009961,0,Normal,Normal
1650974,tcp,192.168.100.147,57436,192.168.100.3,80,664,3.90E-05,45,0,1,2.30E-05,100,0.252315,0.239683,9.00E-05,1,DDoS,HTTP
1650578,tcp,192.168.100.150,54382,192.168.100.3,80,289,4.50E-05,54,0,1,2.60E-05,100,0.249132,0.09189,0.000104,1,DDoS,HTTP
3577255,udp,192.168.100.147,41246,192.168.217.2,53,26992,0,11,0,4,0,20,0,0.399844,0,0,Normal,Normal
3576889,udp,192.168.100.27,58999,192.168.100.1,53,14,0.08015,2,0.018356,2,0.098505,4,0.001755,0.001755,0.178655,0,Normal,Normal
1651225,tcp,192.168.100.147,57542,192.168.100.3,80,974,0.00289,89,0,1,0.002043,96,0.594107,0.237461,0.00613,1,DDoS,HTTP
1650286,tcp,192.168.100.150,54160,192.168.100.3,80,45,2.118221,38,0,1,2.118221,40,0.472094,0.626397,4.236442,1,DDoS,HTTP
1651011,tcp,192.168.100.149,42188,192.168.100.3,80,759,0.013035,93,0,1,0.009217,100,0.591204,0.356646,0.027652,1,DDoS,HTTP
3577319,udp,192.168.100.3,26308,205.251.194.201,53,3727,0,74,0.281482,2,0.281482,2,0,0,0.281482,0,Normal,Normal
1650625,tcp,192.168.100.147,57214,192.168.100.3,80,397,0.485389,53,0,1,0.343222,100,0.493755,0.178336,1.029665,1,DDoS,HTTP
1651048,tcp,192.168.100.149,42262,192.168.100.3,80,796,0.936141,93,0,1,0.661995,100,0.249536,0.356933,1.985898,1,DDoS,HTTP
3577257,udp,192.168.100.148,59637,224.0.0.251,5353,1617,0,20,0,4,0,8,0,0,0,0,Normal,Normal
1650779,tcp,192.168.100.147,57478,192.168.100.3,80,685,2.27028,46,0,1,1.605331,100,0.303195,0.265591,4.815992,1,DDoS,HTTP
1650469,tcp,192.168.100.148,55480,192.168.100.3,80,355,2.266806,18,0,1,1.602874,100,0.304409,0.092679,4.808622,1,DDoS,HTTP
1651069,tcp,192.168.100.149,42304,192.168.100.3,80,817,0.932629,93,0,1,0.65951,100,0.249517,0.3571,1.978447,1,DDoS,HTTP
3577328,udp,192.168.100.3,16569,205.251.196.32,53,3736,0,74,0.009461,2,0.009461,2,0,0,0.009461,0,Normal,Normal
1651210,tcp,192.168.100.147,57512,192.168.100.3,80,959,0.000123,89,0,1,8.70E-05,96,0.594952,0.23741,0.00026,1,DDoS,HTTP
3577075,tcp,192.168.100.150,54730,52.201.147.106,443,5438,0,14,1.44505,6,1.44505,3,7.612193,8.304211,1.44505,0,Normal,Normal
1650733,tcp,192.168.100.149,41858,192.168.100.3,80,481,0.925495,45,0,1,0.654467,100,0.249423,0.35737,1.963314,1,DDoS,HTTP
3577084,arp,192.168.100.27,-1,192.168.100.1,-1,9555,2.60E-05,4,0.000123,2,0.000158,12,0.0017,0.0017,0.000186,0,Normal,Normal
